Kod stacji,Nazwa stacji2,Rzeka/akwen,Status1,Stan aktualny,Czas pomiaru,Trend,Δ 1h,Δ 3h,Δ 6h,Δ 12h,Δ 06:00-06:00 UTC,Stan ostrzegawczy,Stan alarmowy,Zlewnia,Województwo,Powiat,Od/do progu ostrzegawczego,Od/do progu alarmowego,Od/do absolutnego minimum,Prognoza synoptyczna,Prognoza z modelu HD,Zjawiska lodowe,lat,lon
151150150,Nowa Sól,Odra (1),,336 cm,wt, 2024-10-08 17:50 UTC,,1 cm,3 cm,5 cm,6 cm,6 cm,400 cm,450 cm,Odra od Baryczy do Bobru,lubuskie,nowosolski,-64 cm,-114 cm,270 cm,341 cm (śr, 2024-10-09 06:00 UTC)340 cm (cz, 2024-10-10 06:00 UTC),341 cm (śr, 2024-10-09 06:00 UTC)345 cm (cz, 2024-10-10 06:00 UTC)341 cm (pt, 2024-10-11 06:00 UTC),-,51.8022,15.7217
150230050,Orłów Drewniany,Wolica (2432),,260 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,-2 cm,-6 cm,-,-,Wieprz,lubelskie,krasnostawski,-,-,76 cm,-,-,-,50.915,23.1967
152180130,Otłoczynek,Tążyna (2796),,82 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-1 cm,0 cm,2 cm,4 cm,-,-,Wisła od Zgłowiączki do Drwęcy,kujawsko-pomorskie,aleksandrowski,-,-,62 cm,-,-,-,52.8975,18.69
152140130,Połęcko,Odra (1),,264 cm,wt, 2024-10-08 18:40 UTC,,0 cm,0 cm,-,-4 cm,-14 cm,310 cm,350 cm,Odra od Bobru do Warty,lubuskie,krośnieński,-46 cm,-86 cm,253 cm,263 cm (śr, 2024-10-09 06:00 UTC)267 cm (cz, 2024-10-10 06:00 UTC)277 cm (pt, 2024-10-11 06:00 UTC),264 cm (śr, 2024-10-09 06:00 UTC)271 cm (cz, 2024-10-10 06:00 UTC)280 cm (pt, 2024-10-11 06:00 UTC),-,52.0525,14.8922
152230020,Porosiuki,Krzna (267144),,180 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-1 cm,-1 cm,-1 cm,1 cm,-,-,Krzna,lubelskie,bialski,-,-,110 cm,-,-,-,52.02,23.0586
150170110,Prudnik,Prudnik (11764),,134 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,-4 cm,180 cm,230 cm,Odra od Kłodnicy do Małej Panwi,opolskie,prudnicki,-46 cm,-96 cm,64 cm,-,-,-,50.3194,17.5886
150170180,Racławice Śląskie,Osobłoga (1176),,219 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-3 cm,-2 cm,-7 cm,300 cm,350 cm,Odra od Kłodnicy do Małej Panwi,opolskie,prudnicki,-81 cm,-131 cm,95 cm,-,-,-,50.3153,17.7889
151160160,Rydzyna,Polski Rów (148),,151 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,-2 cm,200 cm,240 cm,Barycz,wielkopolskie,leszczyński,-49 cm,-89 cm,84 cm,-,-,-,51.7828,16.6689
153200050,Sarnowo,Szkotówka (2682),,120 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,-1 cm,-,-,Wkra,warmińsko-mazurskie,nidzicki,-,-,85 cm,-,-,-,53.2689,20.2464
151220110,Siemień,Tyśmienica (248),,139 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,2 cm,3 cm,8 cm,-,-,Tyśmienica,lubelskie,parczewski,-,-,126 cm,-,-,-,51.6431,22.7783
150170140,Skorogoszcz,Nysa Kłodzka (12),,148 cm,wt, 2024-10-08 18:50 UTC,,-11 cm,-18 cm,-22 cm,-23 cm,-3 cm,250 cm,280 cm,Nysa Kłodzka,opolskie,opolski,-102 cm,-132 cm,147 cm,-,166 cm (śr, 2024-10-09 06:00 UTC)166 cm (cz, 2024-10-10 06:00 UTC)166 cm (pt, 2024-10-11 06:00 UTC),-,50.7619,17.675
152140050,Słubice,Odra (1),,306 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-1 cm,-2 cm,-6 cm,-11 cm,360 cm,410 cm,Odra od Bobru do Warty,lubuskie,słubicki,-54 cm,-104 cm,242 cm,299 cm (śr, 2024-10-09 06:00 UTC)294 cm (cz, 2024-10-10 06:00 UTC)298 cm (pt, 2024-10-11 06:00 UTC),300 cm (śr, 2024-10-09 06:00 UTC)296 cm (cz, 2024-10-10 06:00 UTC)302 cm (pt, 2024-10-11 06:00 UTC),-,52.3481,14.5556
153230140,Sokołda,Sokołda (26162),,195 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,1 cm,250 cm,300 cm,Supraśl,podlaskie,białostocki,-55 cm,-105 cm,99 cm,-,-,-,53.2472,23.4764
150150200,Sosnówka,Sośniak (16288832),,22 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,0 cm,60 cm,80 cm,Bóbr,dolnośląskie,karkonoski,-38 cm,-58 cm,20 cm,-,-,-,50.8222,15.7192
154179991,Stężyca,Radunia (4868),,98 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,10 cm,9 cm,0 cm,-,-,Martwa Wisła,pomorskie,kartuski,-,-,11 cm,-,-,-,54.2067,17.9544
151160130,Ścinawa,Odra (1),,304 cm,wt, 2024-10-08 18:50 UTC,,1 cm,3 cm,8 cm,11 cm,9 cm,350 cm,400 cm,Odra od Nysy Kłodzkiej do Baryczy,dolnośląskie,lubiński,-46 cm,-96 cm,298 cm,-,297 cm (śr, 2024-10-09 06:00 UTC)286 cm (cz, 2024-10-10 06:00 UTC)265 cm (pt, 2024-10-11 06:00 UTC),-,51.4089,16.4433
151220080,Tchórzew,Tyśmienica (248),,311 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,-3 cm,6 cm,350 cm,400 cm,Tyśmienica,lubelskie,radzyński,-39 cm,-89 cm,156 cm,-,-,-,51.6792,22.5561
154220070,Wólka,Jez. Rospuda Filipowska (Netta) (2622),,395 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,1 cm,-1 cm,-,-,Netta,podlaskie,suwalski,-,-,30 cm,-,-,-,54.2039,22.6167
150220120,Zakłodzie,Pór (24174),,143 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-3 cm,-5 cm,190 cm,230 cm,Wieprz,lubelskie,zamojski,-47 cm,-87 cm,97 cm,-,-,-,50.7575,22.86
151190110,Zawada,Wolbórka (2546),,159 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,2 cm,-4 cm,-,-,Pilica,łódzkie,tomaszowski,-,-,84 cm,-,-,-,51.53,19.9428
151150080,Żagań,Bóbr (16),,310 cm,wt, 2024-10-08 18:50 UTC,,2 cm,1 cm,0 cm,0 cm,-5 cm,340 cm,400 cm,Bóbr,lubuskie,żagański,-30 cm,-90 cm,176 cm,-,305 cm (śr, 2024-10-09 06:00 UTC)302 cm (cz, 2024-10-10 06:00 UTC)302 cm (pt, 2024-10-11 06:00 UTC),-,51.6181,15.3158
150190310,Balice,Rudawa (2136),,242 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,-2 cm,340 cm,380 cm,Wisła od Przemszy do Dunajca,małopolskie,krakowski,-98 cm,-138 cm,26 cm,-,-,-,50.0931,19.8067
150150040,Barcinek,Kamienica (163332),,43 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-1 cm,-4 cm,80 cm,110 cm,Bóbr,dolnośląskie,karkonoski,-37 cm,-67 cm,35 cm,-,-,-,50.9439,15.6039
150160220,Bardo,Nysa Kłodzka (12),,115 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,-1 cm,-4 cm,180 cm,250 cm,Nysa Kłodzka,dolnośląskie,ząbkowicki,-65 cm,-135 cm,77 cm,-,112 cm (śr, 2024-10-09 06:00 UTC)112 cm (cz, 2024-10-10 06:00 UTC)111 cm (pt, 2024-10-11 06:00 UTC),-,50.5044,16.7397
153190040,Bągart,Elbląg (54),,692 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,0 cm,790 cm,800 cm,Elbląg,pomorskie,malborski,-98 cm,-108 cm,120 cm,-,-,-,53.9661,19.3692
153220280,Białobrzegi,Netta (2622),,130 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,0 cm,200 cm,240 cm,Netta,podlaskie,augustowski,-70 cm,-110 cm,72 cm,-,-,-,53.8042,22.9664
151200120,Białobrzegi,Pilica (254),,149 cm,wt, 2024-10-08 18:50 UTC,,1 cm,2 cm,5 cm,7 cm,1 cm,200 cm,250 cm,Pilica,mazowieckie,białobrzeski,-51 cm,-101 cm,53 cm,-,153 cm (śr, 2024-10-09 06:00 UTC)147 cm (cz, 2024-10-10 06:00 UTC)147 cm (pt, 2024-10-11 06:00 UTC),-,51.6575,20.9511
154150050,Białogard,Parsęta (44),,90 cm,wt, 2024-10-08 18:50 UTC,,1 cm,1 cm,1 cm,1 cm,-1 cm,270 cm,290 cm,Parsęta,zachodniopomorskie,białogardzki,-180 cm,-200 cm,64 cm,-,-,-,54.0031,15.9764
154160020,Białogórzyno,Radew (448),,80 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-2 cm,-9 cm,1 cm,0 cm,190 cm,210 cm,Parsęta,zachodniopomorskie,białogardzki,-110 cm,-130 cm,48 cm,-,-,-,54.0625,16.1167
152190100,Bielawy,Mroga (27234),,263 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-3 cm,1 cm,310 cm,360 cm,Bzura,łódzkie,łowicki,-47 cm,-97 cm,75 cm,-,-,-,52.0736,19.65
150190140,Bieruń Nowy,Wisła (2),,106 cm,wt, 2024-10-08 18:50 UTC,,1 cm,1 cm,2 cm,-1 cm,-4 cm,220 cm,330 cm,Wisła do Przemszy (Mała Wisła),śląskie,bieruńsko-lędziński,-114 cm,-224 cm,64 cm,-,106 cm (śr, 2024-10-09 06:00 UTC)106 cm (cz, 2024-10-10 06:00 UTC)106 cm (pt, 2024-10-11 06:00 UTC),-,50.0647,19.1936
150220110,Biłgoraj,Łada (2286),,79 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,-1 cm,180 cm,220 cm,Tanew,lubelskie,biłgorajski,-101 cm,-141 cm,23 cm,-,-,-,50.5422,22.7153
151220130,Biskupice,Giełczewka (244),,-,-,-,-,-,-,-,-,-,-,Wieprz,lubelskie,świdnicki,-,-,-,-,-,-,51.155,22.9453
150200070,Biskupice,Szreniawa (21392),,322 cm,wt, 2024-10-08 18:50 UTC,,1 cm,2 cm,5 cm,7 cm,-8 cm,410 cm,450 cm,Wisła od Przemszy do Dunajca,małopolskie,proszowicki,-88 cm,-128 cm,102 cm,-,-,-,50.1775,20.4992
152150100,Bledzew,Obra (1878),,128 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,1 cm,0 cm,5 cm,200 cm,220 cm,Obra,lubuskie,międzyrzecki,-72 cm,-92 cm,83 cm,-,-,-,52.5175,15.4211
150150130,Błażkowa,Bóbr (16),,93 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,0 cm,-1 cm,-1 cm,-2 cm,150 cm,180 cm,Bóbr,dolnośląskie,kamiennogórski,-57 cm,-87 cm,48 cm,-,93 cm (śr, 2024-10-09 06:00 UTC)93 cm (cz, 2024-10-10 06:00 UTC)93 cm (pt, 2024-10-11 06:00 UTC),-,50.7394,15.9864
153180050,Błędno,Wda (294),,107 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,-2 cm,-,-,Wda,pomorskie,starogardzki,-,-,65 cm,-,-,-,53.7017,18.3472
151190060,Bobry,Warta (18),,95 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,0 cm,0 cm,0 cm,130 cm,150 cm,Warta do Widawki,łódzkie,radomszczański,-35 cm,-55 cm,28 cm,-,94 cm (śr, 2024-10-09 06:00 UTC)95 cm (cz, 2024-10-10 06:00 UTC)95 cm (pt, 2024-10-11 06:00 UTC),-,51.0253,19.4053
150200020,Bocheniec,Wierna Rzeka (2162),,240 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,3 cm,320 cm,370 cm,Nida,świętokrzyskie,jędrzejowski,-80 cm,-130 cm,60 cm,-,-,-,50.8025,20.3117
152230010,Boćki,Nurzec (267146),,138 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-2 cm,-4 cm,2 cm,9 cm,-,-,Nurzec,podlaskie,bielski,-,-,67 cm,-,-,-,52.6517,23.0381
150140100,Bogatynia,Miedzianka (17416),,55 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,-2 cm,-,-,Nysa Łużycka,dolnośląskie,zgorzelecki,-,-,9 cm,-,-,-,50.8922,14.995
151170060,Bogdaj,Polska Woda (142),,238 cm,wt, 2024-10-08 18:40 UTC,,1 cm,1 cm,1 cm,0 cm,-8 cm,250 cm,300 cm,Barycz,wielkopolskie,ostrowski,-12 cm,-62 cm,94 cm,-,-,-,51.5161,17.5642
