Kod stacji,Nazwa stacji2,Rzeka/akwen,Status1,Stan aktualny,Czas pomiaru,Trend,Δ 1h,Δ 3h,Δ 6h,Δ 12h,Δ 06:00-06:00 UTC,Stan ostrzegawczy,Stan alarmowy,Zlewnia,Województwo,Powiat,Od/do progu ostrzegawczego,Od/do progu alarmowego,Od/do absolutnego minimum,Prognoza synoptyczna,Prognoza z modelu HD,Zjawiska lodowe,lat,lon
151170070,Odolanów,Barycz (14),,122 cm,wt, 2024-10-08 18:50 UTC,,1 cm,2 cm,2 cm,-1 cm,-6 cm,90 cm,120 cm,Barycz,wielkopolskie,ostrowski,32 cm,2 cm,121 cm,-,-,-,51.5756,17.67
150160280,Borów,Ślęza (1336),,176 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,-4 cm,-10 cm,160 cm,200 cm,Ślęza,dolnośląskie,strzeliński,16 cm,-24 cm,115 cm,-,176 cm (śr, 2024-10-09 06:00 UTC)176 cm (cz, 2024-10-10 06:00 UTC)176 cm (pt, 2024-10-11 06:00 UTC),-,50.8889,16.9906
151160200,Korzeńsko,Orla (146),,257 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-3 cm,3 cm,220 cm,260 cm,Orla,dolnośląskie,trzebnicki,37 cm,-3 cm,199 cm,-,-,-,51.5392,16.8725
152140090,Biała Góra,Odra (1),,303 cm,wt, 2024-10-08 18:50 UTC,,1 cm,0 cm,-1 cm,-,-,360 cm,470 cm,Odra od Bobru do Warty,lubuskie,słubicki,-57 cm,-167 cm,235 cm,-,300 cm (śr, 2024-10-09 06:00 UTC)304 cm (cz, 2024-10-10 06:00 UTC)311 cm (pt, 2024-10-11 06:00 UTC),-,52.0933,14.7272
150160250,Białobrzezie,Ślęza (1336),,80 cm,wt, 2024-10-08 18:50 UTC,,-2 cm,-3 cm,-4 cm,-7 cm,-7 cm,90 cm,120 cm,Ślęza,dolnośląskie,strzeliński,-10 cm,-40 cm,60 cm,-,-,-,50.8022,16.8922
153170010,Białośliwie,Noteć (188),,254 cm,wt, 2024-10-08 18:40 UTC,,0 cm,1 cm,1 cm,1 cm,1 cm,280 cm,330 cm,Noteć od Łobżonki do Gwdy,wielkopolskie,pilski,-26 cm,-76 cm,156 cm,-,-,-,53.0736,17.1247
152140010,Bielinek,Odra (1),,469 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-2 cm,-3 cm,-6 cm,-21 cm,480 cm,550 cm,-,zachodniopomorskie,gryfiński,-11 cm,-81 cm,329 cm,450 cm (śr, 2024-10-09 06:00 UTC)426 cm (cz, 2024-10-10 06:00 UTC)405 cm (pt, 2024-10-11 06:00 UTC),454 cm (śr, 2024-10-09 06:00 UTC)429 cm (cz, 2024-10-10 06:00 UTC)406 cm (pt, 2024-10-11 06:00 UTC),-,52.9292,14.1542
150190060,Bojszowy,Gostynia (2118),,160 cm,wt, 2024-10-08 18:50 UTC,,48 cm,48 cm,47 cm,41 cm,-,170 cm,230 cm,Wisła do Przemszy (Mała Wisła),śląskie,bieruńsko-lędziński,-10 cm,-70 cm,118 cm,-,-,-,50.0611,19.1083
153180030,Bożepole Szlacheckie,Wierzyca (298),,98 cm,wt, 2024-10-08 18:40 UTC,,1 cm,1 cm,1 cm,1 cm,-2 cm,150 cm,180 cm,Wierzyca,pomorskie,kościerski,-52 cm,-82 cm,94 cm,-,-,-,53.9764,18.2311
151210130,Bór,Wyżnica (2336),,164 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,-2 cm,-,-,Wisła od Sanu do Wieprza,lubelskie,opolski,-,-,47 cm,-,-,-,51.0142,21.8781
150170160,Branice,Opawa (112),,138 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-2 cm,-4 cm,180 cm,240 cm,Opawa,opolskie,głubczycki,-42 cm,-102 cm,98 cm,-,-,brak zjawisk,50.0511,17.7694
151160170,Brzeg Dolny,Odra (1),,395 cm,wt, 2024-10-08 18:50 UTC,,2 cm,-37 cm,-6 cm,-19 cm,6 cm,510 cm,630 cm,Odra od Nysy Kłodzkiej do Baryczy,dolnośląskie,wołowski,-115 cm,-235 cm,370 cm,-,420 cm (śr, 2024-10-09 06:00 UTC)412 cm (cz, 2024-10-10 06:00 UTC)391 cm (pt, 2024-10-11 06:00 UTC),-,51.2606,16.7267
151160040,Bukowna,Czarna Woda (1386),,-,-,-,-,-,-,-,2 cm,120 cm,150 cm,Kaczawa,dolnośląskie,lubiński,-,-,-,-,-,-,51.31,16.0469
152150130,Cigacice,Odra (1),,325 cm,wt, 2024-10-08 18:40 UTC,,0 cm,-1 cm,-,3 cm,-,350 cm,400 cm,Odra od Baryczy do Bobru,lubuskie,zielonogórski,-25 cm,-75 cm,261 cm,329 cm (śr, 2024-10-09 06:00 UTC)337 cm (cz, 2024-10-10 06:00 UTC),331 cm (śr, 2024-10-09 06:00 UTC)342 cm (cz, 2024-10-10 06:00 UTC)344 cm (pt, 2024-10-11 06:00 UTC),-,52.0331,15.6075
153180010,Czarna Woda,Wda (294),,89 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-,-1 cm,130 cm,150 cm,Wda,pomorskie,starogardzki,-41 cm,-61 cm,67 cm,-,-,-,53.8411,18.0928
151180050,Dębe,Swędrnia (18482),,216 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,-1 cm,-1 cm,220 cm,250 cm,Prosna,wielkopolskie,kaliski,-4 cm,-34 cm,108 cm,-,-,-,51.7914,18.1978
150170220,Dobra,Biała (11768),,97 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-2 cm,-1 cm,-1 cm,-4 cm,140 cm,200 cm,Odra od Kłodnicy do Małej Panwi,opolskie,krapkowicki,-43 cm,-103 cm,80 cm,-,-,-,50.4481,17.8969
150160140,Dzierżoniów,Piława (1344),,178 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,2 cm,-4 cm,280 cm,300 cm,Bystrzyca,dolnośląskie,dzierżoniowski,-102 cm,-122 cm,39 cm,-,-,-,50.7258,16.6461
151160060,Głogów,Odra (1),,389 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,1 cm,1 cm,6 cm,10 cm,400 cm,450 cm,Odra od Baryczy do Bobru,dolnośląskie,głogowski,-11 cm,-61 cm,294 cm,389 cm (śr, 2024-10-09 06:00 UTC),391 cm (śr, 2024-10-09 06:00 UTC)391 cm (cz, 2024-10-10 06:00 UTC)384 cm (pt, 2024-10-11 06:00 UTC),-,51.6739,16.0592
151180070,Gorzów Śląski,Prosna (184),,132 cm,wt, 2024-10-08 18:40 UTC,,0 cm,0 cm,-1 cm,-3 cm,-6 cm,160 cm,210 cm,Prosna,opolskie,oleski,-28 cm,-78 cm,61 cm,-,-,-,51.0353,18.4344
152140020,Gozdowice,Odra (1),,427 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-2 cm,-4 cm,-9 cm,-19 cm,440 cm,500 cm,-,zachodniopomorskie,gryfiński,-13 cm,-73 cm,354 cm,416 cm (śr, 2024-10-09 06:00 UTC)400 cm (cz, 2024-10-10 06:00 UTC)392 cm (pt, 2024-10-11 06:00 UTC),419 cm (śr, 2024-10-09 06:00 UTC)403 cm (cz, 2024-10-10 06:00 UTC)393 cm (pt, 2024-10-11 06:00 UTC),-,52.7642,14.3178
154160060,Grabowo,Grabowa (468),,-,-,-,-,-,-,-,2 cm,160 cm,170 cm,Wieprza,zachodniopomorskie,sławieński,-,-,-,-,-,-,54.2983,16.4375
152220060,Hruszew,Toczna (2671458),,186 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,-2 cm,-5 cm,-,-,Bug od Krzny do Nurca,mazowieckie,łosicki,-,-,106 cm,-,-,-,52.3206,22.7203
153200010,Idzbark,Drwęca (28),,98 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,0 cm,-,-,Drwęca,warmińsko-mazurskie,ostródzki,-,-,94 cm,-,-,-,53.6722,20.0342
151160190,Jarnołtów,Bystrzyca (134),,195 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,0 cm,0 cm,-4 cm,-5 cm,230 cm,270 cm,Bystrzyca,dolnośląskie,Wrocław,-35 cm,-75 cm,185 cm,-,189 cm (śr, 2024-10-09 06:00 UTC)189 cm (cz, 2024-10-10 06:00 UTC)189 cm (pt, 2024-10-11 06:00 UTC),-,51.1217,16.8428
153200030,Kalisty,Pasłęka (56),,101 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-1 cm,-2 cm,170 cm,190 cm,Pasłęka,warmińsko-mazurskie,olsztyński,-69 cm,-89 cm,75 cm,-,-,-,53.9172,20.1958
152140070,Kostrzyn Nad Odrą,Warta (18),,334 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-2 cm,-4 cm,-9 cm,-19 cm,360 cm,410 cm,Warta od Noteci do ujścia,lubuskie,gorzowski,-26 cm,-76 cm,228 cm,-,328 cm (śr, 2024-10-09 06:00 UTC)313 cm (cz, 2024-10-10 06:00 UTC)308 cm (pt, 2024-10-11 06:00 UTC),-,52.5819,14.6622
152140060,Kostrzyn Nad Odrą,Odra (1),,368 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-2 cm,-4 cm,-8 cm,-21 cm,420 cm,470 cm,-,lubuskie,gorzowski,-52 cm,-102 cm,273 cm,-,362 cm (śr, 2024-10-09 06:00 UTC)347 cm (cz, 2024-10-10 06:00 UTC)343 cm (pt, 2024-10-11 06:00 UTC),-,52.5992,14.6106
152160090,Kościan,Kanał Mosiński (1856),,163 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,0 cm,180 cm,210 cm,Kanał Mosiński,wielkopolskie,kościański,-17 cm,-47 cm,160 cm,-,-,-,52.09,16.6442
153180060,Krąplewice,Wda (294),,150 cm,wt, 2024-10-08 18:40 UTC,,0 cm,9 cm,50 cm,13 cm,-2 cm,220 cm,280 cm,Wda,kujawsko-pomorskie,świecki,-70 cm,-130 cm,132 cm,-,-,-,53.4894,18.3808
152200090,Krubice,Utrata (2728),,167 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,-1 cm,220 cm,280 cm,Bzura,mazowieckie,warszawski zachodni,-53 cm,-113 cm,107 cm,-,-,-,52.2397,20.4517
151170010,Krzyżanowice,Widawa (136),,134 cm,wt, 2024-10-08 18:50 UTC,,1 cm,1 cm,1 cm,1 cm,0 cm,150 cm,200 cm,Widawa,dolnośląskie,trzebnicki,-16 cm,-66 cm,108 cm,-,136 cm (śr, 2024-10-09 06:00 UTC)142 cm (cz, 2024-10-10 06:00 UTC)148 cm (pt, 2024-10-11 06:00 UTC),-,51.1711,17.0475
153220230,Kulesze-Chobotki,Nereśl (2618),,257 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-2 cm,-10 cm,330 cm,360 cm,Narew do Biebrzy,podlaskie,moniecki,-73 cm,-103 cm,142 cm,-,-,-,53.2417,22.7647
150160070,Lubachów,Bystrzyca (134),,194 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-,-,210 cm,230 cm,Bystrzyca,dolnośląskie,świdnicki,-16 cm,-36 cm,111 cm,-,146 cm (śr, 2024-10-09 06:00 UTC)112 cm (cz, 2024-10-10 06:00 UTC)112 cm (pt, 2024-10-11 06:00 UTC),-,50.7658,16.4311
150160090,Łażany,Strzegomka (1348),,166 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-3 cm,-9 cm,-3 cm,200 cm,240 cm,Bystrzyca,dolnośląskie,świdnicki,-34 cm,-74 cm,85 cm,-,166 cm (śr, 2024-10-09 06:00 UTC)166 cm (cz, 2024-10-10 06:00 UTC)166 cm (pt, 2024-10-11 06:00 UTC),-,50.9531,16.4925
151170040,Łąki,Barycz (14),,225 cm,wt, 2024-10-08 18:50 UTC,,1 cm,-1 cm,-1 cm,-2 cm,-1 cm,280 cm,310 cm,Barycz,dolnośląskie,milicki,-55 cm,-85 cm,181 cm,-,220 cm (śr, 2024-10-09 06:00 UTC)220 cm (cz, 2024-10-10 06:00 UTC)220 cm (pt, 2024-10-11 06:00 UTC),-,51.4931,17.1464
151160150,Malczyce,Odra (1),,308 cm,wt, 2024-10-08 18:40 UTC,,-,-7 cm,-7 cm,18 cm,10 cm,500 cm,600 cm,Odra od Nysy Kłodzkiej do Baryczy,dolnośląskie,średzki,-192 cm,-292 cm,318 cm,-,298 cm (śr, 2024-10-09 06:00 UTC)285 cm (cz, 2024-10-10 06:00 UTC)250 cm (pt, 2024-10-11 06:00 UTC),-,51.2261,16.4928
151220050,Młyniska,Minina (2492),,182 cm,wt, 2024-10-08 18:50 UTC,,0 cm,1 cm,2 cm,7 cm,1 cm,-,-,Wieprz,lubelskie,lubartowski,-,-,94 cm,-,-,-,51.5428,22.3867
153170100,Nakło-Zachód,Noteć (188),,297 cm,wt, 2024-10-08 18:50 UTC,,1 cm,2 cm,3 cm,1 cm,-6 cm,320 cm,360 cm,Noteć od Noteci Zachodniej do Łobżonki,kujawsko-pomorskie,nakielski,-23 cm,-63 cm,125 cm,-,-,-,53.1236,17.5622
151180090,Niechmirów,Oleśnica (1818),,116 cm,wt, 2024-10-08 18:40 UTC,,0 cm,0 cm,0 cm,0 cm,1 cm,170 cm,220 cm,Warta do Widawki,łódzkie,sieradzki,-54 cm,-104 cm,60 cm,-,-,-,51.3881,18.7622
150170120,Niemodlin,Ścinawa Niemodlińska (128),,278 cm,wt, 2024-10-08 18:50 UTC,,1 cm,0 cm,-2 cm,-5 cm,-14 cm,320 cm,350 cm,Nysa Kłodzka,opolskie,opolski,-42 cm,-72 cm,74 cm,-,-,-,50.6456,17.6244
152150050,Nietków,Odra (1),,337 cm,wt, 2024-10-08 18:50 UTC,,1 cm,0 cm,1 cm,2 cm,-7 cm,370 cm,400 cm,Odra od Baryczy do Bobru,lubuskie,zielonogórski,-33 cm,-63 cm,247 cm,340 cm (śr, 2024-10-09 06:00 UTC)352 cm (cz, 2024-10-10 06:00 UTC)352 cm (pt, 2024-10-11 06:00 UTC),342 cm (śr, 2024-10-09 06:00 UTC)354 cm (cz, 2024-10-10 06:00 UTC)358 cm (pt, 2024-10-11 06:00 UTC),-,52.0464,15.3475
