Kod stacji,Nazwa stacji2,Rzeka/akwen,Status1,Stan aktualny,Czas pomiaru,Trend,Δ 1h,Δ 3h,Δ 6h,Δ 12h,Δ 06:00-06:00 UTC,Stan ostrzegawczy,Stan alarmowy,Zlewnia,Województwo,Powiat,Od/do progu ostrzegawczego,Od/do progu alarmowego,Od/do absolutnego minimum,Prognoza synoptyczna,Prognoza z modelu HD,Zjawiska lodowe,lat,lon
150160140,Dzierżoniów,Piława (1344),,180 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,-1 cm,-1 cm,-6 cm,280 cm,300 cm,Bystrzyca,dolnośląskie,dzierżoniowski,-100 cm,-120 cm,41 cm,-,-,-,50.7258,16.6461
151160060,Głogów,Odra (1),,377 cm,pn, 2024-10-07 20:20 UTC,,-,1 cm,3 cm,4 cm,1 cm,400 cm,450 cm,Odra od Baryczy do Bobru,dolnośląskie,głogowski,-23 cm,-73 cm,282 cm,381 cm (wt, 2024-10-08 06:00 UTC),382 cm (wt, 2024-10-08 06:00 UTC)396 cm (śr, 2024-10-09 06:00 UTC)392 cm (cz, 2024-10-10 06:00 UTC),-,51.6739,16.0592
150160290,Gniechowice,Czarna Woda (1346),,99 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,-1 cm,-2 cm,-3 cm,150 cm,180 cm,Bystrzyca,dolnośląskie,wrocławski,-51 cm,-81 cm,89 cm,-,-,-,50.9875,16.8292
151180070,Gorzów Śląski,Prosna (184),,136 cm,pn, 2024-10-07 20:10 UTC,,0 cm,0 cm,-2 cm,-4 cm,-6 cm,160 cm,210 cm,Prosna,opolskie,oleski,-24 cm,-74 cm,65 cm,-,-,-,51.0353,18.4344
152220060,Hruszew,Toczna (2671458),,190 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-2 cm,-4 cm,8 cm,-,-,Bug od Krzny do Nurca,mazowieckie,łosicki,-,-,110 cm,-,-,-,52.3206,22.7203
153200010,Idzbark,Drwęca (28),,98 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,0 cm,0 cm,-,-,Drwęca,warmińsko-mazurskie,ostródzki,-,-,94 cm,-,-,-,53.6722,20.0342
151160190,Jarnołtów,Bystrzyca (134),,199 cm,pn, 2024-10-07 20:20 UTC,,-,-2 cm,-4 cm,-4 cm,-8 cm,230 cm,270 cm,Bystrzyca,dolnośląskie,Wrocław,-31 cm,-71 cm,189 cm,-,199 cm (wt, 2024-10-08 06:00 UTC)196 cm (śr, 2024-10-09 06:00 UTC)197 cm (cz, 2024-10-10 06:00 UTC),-,51.1217,16.8428
150170080,Jarnołtówek,Złoty Potok (117644),,92 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,0 cm,-1 cm,120 cm,170 cm,Odra od Kłodnicy do Małej Panwi,opolskie,nyski,-28 cm,-78 cm,31 cm,-,-,-,50.2858,17.4281
153200030,Kalisty,Pasłęka (56),,103 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-1 cm,-1 cm,-2 cm,170 cm,190 cm,Pasłęka,warmińsko-mazurskie,olsztyński,-67 cm,-87 cm,77 cm,-,-,-,53.9172,20.1958
150170150,Karłowice,Stobrawa (132),,214 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,2 cm,4 cm,5 cm,250 cm,300 cm,Stobrawa,opolskie,opolski,-36 cm,-86 cm,88 cm,-,-,-,50.8786,17.7217
152140070,Kostrzyn Nad Odrą,Warta (18),,350 cm,pn, 2024-10-07 20:20 UTC,,-,-3 cm,-5 cm,-11 cm,-19 cm,360 cm,410 cm,Warta od Noteci do ujścia,lubuskie,gorzowski,-10 cm,-60 cm,244 cm,-,340 cm (wt, 2024-10-08 06:00 UTC)318 cm (śr, 2024-10-09 06:00 UTC)306 cm (cz, 2024-10-10 06:00 UTC),-,52.5819,14.6622
152140060,Kostrzyn Nad Odrą,Odra (1),,384 cm,pn, 2024-10-07 20:20 UTC,,-,-2 cm,-5 cm,-12 cm,-22 cm,420 cm,470 cm,-,lubuskie,gorzowski,-36 cm,-86 cm,289 cm,-,375 cm (wt, 2024-10-08 06:00 UTC)356 cm (śr, 2024-10-09 06:00 UTC)344 cm (cz, 2024-10-10 06:00 UTC),-,52.5992,14.6106
152160090,Kościan,Kanał Mosiński (1856),,164 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,-1 cm,-2 cm,180 cm,210 cm,Kanał Mosiński,wielkopolskie,kościański,-16 cm,-46 cm,161 cm,-,-,-,52.09,16.6442
151180060,Kraszewice,Łużyca (18438),,196 cm,pn, 2024-10-07 20:10 UTC,,0 cm,0 cm,1 cm,0 cm,0 cm,240 cm,260 cm,Prosna,wielkopolskie,ostrzeszowski,-44 cm,-64 cm,102 cm,-,-,-,51.5192,18.225
152200090,Krubice,Utrata (2728),,168 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,0 cm,-2 cm,220 cm,280 cm,Bzura,mazowieckie,warszawski zachodni,-52 cm,-112 cm,108 cm,-,-,-,52.2397,20.4517
151170010,Krzyżanowice,Widawa (136),,134 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,1 cm,0 cm,150 cm,200 cm,Widawa,dolnośląskie,trzebnicki,-16 cm,-66 cm,108 cm,-,138 cm (wt, 2024-10-08 06:00 UTC)140 cm (śr, 2024-10-09 06:00 UTC)125 cm (cz, 2024-10-10 06:00 UTC),-,51.1711,17.0475
153220230,Kulesze-Chobotki,Nereśl (2618),,264 cm,pn, 2024-10-07 20:20 UTC,,-,-3 cm,-4 cm,-4 cm,2 cm,330 cm,360 cm,Narew do Biebrzy,podlaskie,moniecki,-66 cm,-96 cm,149 cm,-,-,-,53.2417,22.7647
150160090,Łażany,Strzegomka (1348),,177 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,0 cm,-5 cm,200 cm,240 cm,Bystrzyca,dolnośląskie,świdnicki,-23 cm,-63 cm,96 cm,-,175 cm (wt, 2024-10-08 06:00 UTC)175 cm (śr, 2024-10-09 06:00 UTC)175 cm (cz, 2024-10-10 06:00 UTC),-,50.9531,16.4925
