Kod stacji,Nazwa stacji2,Rzeka/akwen,Status1,Stan aktualny,Czas pomiaru,Trend,Δ 1h,Δ 3h,Δ 6h,Δ 12h,Δ 06:00-06:00 UTC,Stan ostrzegawczy,Stan alarmowy,Zlewnia,Województwo,Powiat,Od/do progu ostrzegawczego,Od/do progu alarmowego,Od/do absolutnego minimum,Prognoza synoptyczna,Prognoza z modelu HD,Zjawiska lodowe,lat,lon
151160060,Głogów,Odra (1),,401 cm,cz, 2024-10-03 19:00 UTC,,-,-2 cm,-3 cm,-6 cm,-31 cm,400 cm,450 cm,Odra od Baryczy do Bobru,dolnośląskie,głogowski,1 cm,-49 cm,306 cm,397 cm (pt, 2024-10-04 06:00 UTC)393 cm (sb, 2024-10-05 06:00 UTC),398 cm (pt, 2024-10-04 06:00 UTC)393 cm (sb, 2024-10-05 06:00 UTC)393 cm (nd, 2024-10-06 06:00 UTC),-,51.6739,16.0592
153140030,Gryfino,Odra (1),,599 cm,cz, 2024-10-03 19:00 UTC,,-,1 cm,4 cm,7 cm,13 cm,570 cm,600 cm,-,zachodniopomorskie,gryfiński,29 cm,-1 cm,165 cm,592 cm (cz, 2024-10-03 06:00 UTC)600 cm (pt, 2024-10-04 06:00 UTC)585 cm (sb, 2024-10-05 06:00 UTC),-,-,53.2569,14.4844
152140060,Kostrzyn Nad Odrą,Odra (1),,463 cm,cz, 2024-10-03 19:00 UTC,,-,-2 cm,-4 cm,-8 cm,-13 cm,420 cm,470 cm,-,lubuskie,gorzowski,43 cm,-7 cm,368 cm,-,455 cm (pt, 2024-10-04 06:00 UTC)430 cm (sb, 2024-10-05 06:00 UTC)402 cm (nd, 2024-10-06 06:00 UTC),-,52.5992,14.6106
151160140,Osetno,Barycz (14),,269 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,-1 cm,-2 cm,-4 cm,260 cm,330 cm,Barycz,dolnośląskie,górowski,9 cm,-61 cm,181 cm,-,268 cm (pt, 2024-10-04 06:00 UTC)265 cm (sb, 2024-10-05 06:00 UTC)264 cm (nd, 2024-10-06 06:00 UTC),-,51.6319,16.46
152150020,Stary Raduszec,Bóbr (16),,488 cm,cz, 2024-10-03 19:00 UTC,,-,-,-,9 cm,-29 cm,450 cm,500 cm,Bóbr,lubuskie,krośnieński,38 cm,-12 cm,364 cm,-,474 cm (pt, 2024-10-04 06:00 UTC)436 cm (sb, 2024-10-05 06:00 UTC)416 cm (nd, 2024-10-06 06:00 UTC),-,52.0364,15.0786
153140190,Szczecin-Podjuchy,Regalica (1974),,582 cm,cz, 2024-10-03 19:00 UTC,,-,1 cm,4 cm,10 cm,20 cm,580 cm,610 cm,Odra od Odry Zachodniej do Iny,zachodniopomorskie,Szczecin,2 cm,-28 cm,157 cm,-,-,-,53.3689,14.5925
153140040,Trzebież,Zalew Szczeciński (319),,556 cm,cz, 2024-10-03 19:00 UTC,,-,-1 cm,0 cm,8 cm,21 cm,540 cm,560 cm,Zalew Szczeciński,zachodniopomorskie,policki,16 cm,-4 cm,138 cm,546 cm (cz, 2024-10-03 06:00 UTC)550 cm (pt, 2024-10-04 06:00 UTC)534 cm (sb, 2024-10-05 06:00 UTC),-,-,53.6592,14.5189
153140020,Widuchowa,Odra (1),,648 cm,cz, 2024-10-03 19:00 UTC,,-,-1 cm,-1 cm,-1 cm,-3 cm,630 cm,650 cm,-,zachodniopomorskie,gryfiński,18 cm,-2 cm,220 cm,647 cm (pt, 2024-10-04 06:00 UTC)633 cm (sb, 2024-10-05 06:00 UTC),645 cm (pt, 2024-10-04 06:00 UTC)631 cm (sb, 2024-10-05 06:00 UTC),-,53.1225,14.3819
151170050,Zbytowa,Widawa (136),,317 cm,cz, 2024-10-03 19:00 UTC,,-,-1 cm,0 cm,1 cm,0 cm,310 cm,350 cm,Widawa,dolnośląskie,oleśnicki,7 cm,-33 cm,159 cm,-,317 cm (pt, 2024-10-04 06:00 UTC)308 cm (sb, 2024-10-05 06:00 UTC)308 cm (nd, 2024-10-06 06:00 UTC),-,51.1058,17.4067
150160250,Białobrzezie,Ślęza (1336),,77 cm,cz, 2024-10-03 19:00 UTC,,-,-1 cm,-4 cm,-6 cm,8 cm,90 cm,120 cm,Ślęza,dolnośląskie,strzeliński,-13 cm,-43 cm,57 cm,-,-,-,50.8022,16.8922
153170010,Białośliwie,Noteć (188),,250 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,1 cm,5 cm,280 cm,330 cm,Noteć od Łobżonki do Gwdy,wielkopolskie,pilski,-30 cm,-80 cm,152 cm,-,-,-,53.0736,17.1247
151160180,Bogdaszowice,Strzegomka (1348),,143 cm,cz, 2024-10-03 19:00 UTC,,-,-7 cm,-,14 cm,0 cm,180 cm,220 cm,Bystrzyca,dolnośląskie,wrocławski,-37 cm,-77 cm,79 cm,-,133 cm (pt, 2024-10-04 06:00 UTC)132 cm (sb, 2024-10-05 06:00 UTC)132 cm (nd, 2024-10-06 06:00 UTC),-,51.0867,16.7925
154170240,Borucino,Borucinka (48681152),,260 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,0 cm,8 cm,-,-,Martwa Wisła,pomorskie,kartuski,-,-,14 cm,-,-,-,54.2556,17.98
153180030,Bożepole Szlacheckie,Wierzyca (298),,99 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,6 cm,-,150 cm,180 cm,Wierzyca,pomorskie,kościerski,-51 cm,-81 cm,95 cm,-,-,-,53.9764,18.2311
151160170,Brzeg Dolny,Odra (1),,378 cm,cz, 2024-10-03 19:00 UTC,,-,-18 cm,-18 cm,-18 cm,-10 cm,510 cm,630 cm,Odra od Nysy Kłodzkiej do Baryczy,dolnośląskie,wołowski,-132 cm,-252 cm,353 cm,-,382 cm (pt, 2024-10-04 06:00 UTC)383 cm (sb, 2024-10-05 06:00 UTC)386 cm (nd, 2024-10-06 06:00 UTC),-,51.2606,16.7267
151160040,Bukowna,Czarna Woda (1386),,-,-,-,-,-,-,-,8 cm,120 cm,150 cm,Kaczawa,dolnośląskie,lubiński,-,-,-,-,-,-,51.31,16.0469
153220310,Czarna Wieś,Kanał Kuwasy (262898),,153 cm,cz, 2024-10-03 19:00 UTC,,-,35 cm,35 cm,35 cm,-,-,-,Ełk,podlaskie,grajewski,-,-,73 cm,-,-,-,53.7111,22.6394
153180010,Czarna Woda,Wda (294),,91 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,-1 cm,0 cm,2 cm,130 cm,150 cm,Wda,pomorskie,starogardzki,-39 cm,-59 cm,69 cm,-,-,-,53.8411,18.0928
151180050,Dębe,Swędrnia (18482),,214 cm,cz, 2024-10-03 19:00 UTC,,-,1 cm,2 cm,3 cm,5 cm,220 cm,250 cm,Prosna,wielkopolskie,kaliski,-6 cm,-36 cm,106 cm,-,-,-,51.7914,18.1978
150170220,Dobra,Biała (11768),,91 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,2 cm,1 cm,5 cm,140 cm,200 cm,Odra od Kłodnicy do Małej Panwi,opolskie,krapkowicki,-49 cm,-109 cm,74 cm,-,-,-,50.4481,17.8969
153140070,Dziwnów,Morze Bałtyckie (0),,546 cm,cz, 2024-10-03 19:00 UTC,,-,8 cm,7 cm,25 cm,1 cm,560 cm,580 cm,Cieśnina Dziwna,zachodniopomorskie,kamieński,-14 cm,-34 cm,160 cm,-,-,-,54.0206,14.7317
150160290,Gniechowice,Czarna Woda (1346),,111 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,2 cm,10 cm,9 cm,150 cm,180 cm,Bystrzyca,dolnośląskie,wrocławski,-39 cm,-69 cm,101 cm,-,-,-,50.9875,16.8292
154160060,Grabowo,Grabowa (468),,-,-,-,-,-,-,-,-4 cm,160 cm,170 cm,Wieprza,zachodniopomorskie,sławieński,-,-,-,-,-,-,54.2983,16.4375
152220060,Hruszew,Toczna (2671458),,193 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,1 cm,7 cm,2 cm,-,-,Bug od Krzny do Nurca,mazowieckie,łosicki,-,-,113 cm,-,-,-,52.3206,22.7203
